GENEID,TXNAME
K562_RS02190,K562_RS02190
K562_RS02195,K562_RS02195
K562_RS02200,K562_RS02200
K562_RS02205,K562_RS02205
K562_RS02210,K562_RS02210
K562_RS02215,K562_RS02215
K562_RS02220,K562_RS02220
K562_RS35375,K562_RS35375
K562_RS02225,K562_RS02225
K562_RS02230,K562_RS02230
K562_RS02235,K562_RS02235
K562_RS02240,K562_RS02240
K562_RS02245,K562_RS02245
K562_RS02250,K562_RS02250
K562_RS02255,K562_RS02255
K562_RS02260,K562_RS02260
K562_RS02265,K562_RS02265
K562_RS02270,K562_RS02270
K562_RS02275,K562_RS02275
K562_RS02280,K562_RS02280
K562_RS02285,K562_RS02285
K562_RS02290,K562_RS02290
K562_RS02295,K562_RS02295
K562_RS02300,K562_RS02300
K562_RS02305,K562_RS02305
K562_RS02310,K562_RS02310
K562_RS02315,K562_RS02315
K562_RS02320,K562_RS02320
K562_RS02325,K562_RS02325
K562_RS02330,K562_RS02330
K562_RS02335,K562_RS02335
K562_RS02340,K562_RS02340
K562_RS02345,K562_RS02345
K562_RS02350,K562_RS02350
K562_RS02355,K562_RS02355
K562_RS02360,K562_RS02360
K562_RS02370,K562_RS02370
K562_RS02375,K562_RS02375
K562_RS02380,K562_RS02380
K562_RS02385,K562_RS02385
K562_RS02390,K562_RS02390
K562_RS02395,K562_RS02395
K562_RS02400,K562_RS02400
K562_RS02405,K562_RS02405
K562_RS02410,K562_RS02410
K562_RS02415,K562_RS02415
K562_RS02420,K562_RS02420
K562_RS02425,K562_RS02425
K562_RS02430,K562_RS02430
K562_RS02435,K562_RS02435
K562_RS02440,K562_RS02440
K562_RS02450,K562_RS02450
K562_RS02455,K562_RS02455
K562_RS02460,K562_RS02460
K562_RS02465,K562_RS02465
K562_RS02470,K562_RS02470
K562_RS02475,K562_RS02475
K562_RS02480,K562_RS02480
K562_RS02485,K562_RS02485
K562_RS02490,K562_RS02490
K562_RS02495,K562_RS02495
K562_RS02500,K562_RS02500
K562_RS02505,K562_RS02505
K562_RS02510,K562_RS02510
K562_RS02515,K562_RS02515
K562_RS02520,K562_RS02520
K562_RS02525,K562_RS02525
K562_RS02530,K562_RS02530
K562_RS02535,K562_RS02535
K562_RS02540,K562_RS02540
K562_RS02545,K562_RS02545
K562_RS02550,K562_RS02550
K562_RS02555,K562_RS02555
K562_RS02560,K562_RS02560
K562_RS02565,K562_RS02565
K562_RS02570,K562_RS02570
K562_RS02575,K562_RS02575
K562_RS02580,K562_RS02580
K562_RS02585,K562_RS02585
K562_RS02590,K562_RS02590
K562_RS02595,K562_RS02595
K562_RS02600,K562_RS02600
K562_RS02605,K562_RS02605
K562_RS02610,K562_RS02610
K562_RS02615,K562_RS02615
K562_RS02620,K562_RS02620
K562_RS02625,K562_RS02625
K562_RS02630,K562_RS02630
K562_RS02635,K562_RS02635
K562_RS02640,K562_RS02640
K562_RS02645,K562_RS02645
K562_RS02650,K562_RS02650
K562_RS02655,K562_RS02655
K562_RS02660,K562_RS02660
K562_RS02665,K562_RS02665
K562_RS02670,K562_RS02670
K562_RS02675,K562_RS02675
K562_RS02680,K562_RS02680
K562_RS02685,K562_RS02685
K562_RS02690,K562_RS02690
K562_RS02695,K562_RS02695
K562_RS02700,K562_RS02700
K562_RS02705,K562_RS02705
K562_RS02710,K562_RS02710
K562_RS02715,K562_RS02715
K562_RS02720,K562_RS02720
K562_RS02725,K562_RS02725
K562_RS02730,K562_RS02730
K562_RS02735,K562_RS02735
K562_RS02740,K562_RS02740
K562_RS02745,K562_RS02745
K562_RS02750,K562_RS02750
K562_RS02755,K562_RS02755
K562_RS02760,K562_RS02760
K562_RS02765,K562_RS02765
K562_RS02770,K562_RS02770
K562_RS02775,K562_RS02775
K562_RS02780,K562_RS02780
K562_RS02785,K562_RS02785
K562_RS02790,K562_RS02790
K562_RS02795,K562_RS02795
K562_RS02800,K562_RS02800
K562_RS02805,K562_RS02805
K562_RS02810,K562_RS02810
K562_RS02815,K562_RS02815
K562_RS02820,K562_RS02820
K562_RS02825,K562_RS02825
K562_RS02830,K562_RS02830
K562_RS02835,K562_RS02835
K562_RS02840,K562_RS02840
K562_RS02845,K562_RS02845
K562_RS02850,K562_RS02850
K562_RS02855,K562_RS02855
K562_RS02860,K562_RS02860
K562_RS02865,K562_RS02865
K562_RS02870,K562_RS02870
K562_RS02875,K562_RS02875
K562_RS02880,K562_RS02880
K562_RS02885,K562_RS02885
K562_RS02890,K562_RS02890
K562_RS02895,K562_RS02895
K562_RS02900,K562_RS02900
K562_RS02905,K562_RS02905
K562_RS02910,K562_RS02910
K562_RS02915,K562_RS02915
K562_RS02920,K562_RS02920
K562_RS02925,K562_RS02925
K562_RS02930,K562_RS02930
K562_RS02935,K562_RS02935
K562_RS02940,K562_RS02940
K562_RS02945,K562_RS02945
K562_RS02950,K562_RS02950
K562_RS02955,K562_RS02955
K562_RS02960,K562_RS02960
K562_RS02965,K562_RS02965
K562_RS02970,K562_RS02970
K562_RS02975,K562_RS02975
K562_RS02980,K562_RS02980
K562_RS02985,K562_RS02985
K562_RS02990,K562_RS02990
K562_RS02995,K562_RS02995
K562_RS03000,K562_RS03000
K562_RS03005,K562_RS03005
K562_RS03010,K562_RS03010
K562_RS03015,K562_RS03015
K562_RS03020,K562_RS03020
K562_RS03025,K562_RS03025
K562_RS03030,K562_RS03030
K562_RS03035,K562_RS03035
K562_RS03040,K562_RS03040
K562_RS03045,K562_RS03045
K562_RS03050,K562_RS03050
K562_RS03055,K562_RS03055
K562_RS03060,K562_RS03060
K562_RS03065,K562_RS03065
K562_RS03070,K562_RS03070
K562_RS03075,K562_RS03075
K562_RS03080,K562_RS03080
K562_RS03085,K562_RS03085
K562_RS35380,K562_RS35380
K562_RS03090,K562_RS03090
K562_RS03095,K562_RS03095
K562_RS03100,K562_RS03100
K562_RS03105,K562_RS03105
K562_RS03110,K562_RS03110
K562_RS03115,K562_RS03115
K562_RS03120,K562_RS03120
K562_RS03125,K562_RS03125
K562_RS03130,K562_RS03130
K562_RS03135,K562_RS03135
K562_RS03140,K562_RS03140
K562_RS03145,K562_RS03145
K562_RS03150,K562_RS03150
K562_RS03155,K562_RS03155
K562_RS03160,K562_RS03160
K562_RS03165,K562_RS03165
K562_RS03170,K562_RS03170
K562_RS03175,K562_RS03175
K562_RS03180,K562_RS03180
K562_RS03185,K562_RS03185
K562_RS03190,K562_RS03190
K562_RS03195,K562_RS03195
K562_RS03200,K562_RS03200
K562_RS03205,K562_RS03205
K562_RS03210,K562_RS03210
K562_RS03215,K562_RS03215
K562_RS03220,K562_RS03220
K562_RS03225,K562_RS03225
K562_RS03230,K562_RS03230
K562_RS03235,K562_RS03235
K562_RS03240,K562_RS03240
K562_RS03245,K562_RS03245
K562_RS03250,K562_RS03250
K562_RS03255,K562_RS03255
K562_RS03260,K562_RS03260
K562_RS03265,K562_RS03265
K562_RS03270,K562_RS03270
K562_RS03275,K562_RS03275
K562_RS03280,K562_RS03280
K562_RS03285,K562_RS03285
K562_RS03290,K562_RS03290
K562_RS03295,K562_RS03295
K562_RS03300,K562_RS03300
K562_RS03305,K562_RS03305
K562_RS03310,K562_RS03310
K562_RS03315,K562_RS03315
K562_RS03325,K562_RS03325
K562_RS03330,K562_RS03330
K562_RS03335,K562_RS03335
K562_RS03340,K562_RS03340
K562_RS03345,K562_RS03345
K562_RS03350,K562_RS03350
K562_RS03355,K562_RS03355
K562_RS03360,K562_RS03360
K562_RS03365,K562_RS03365
K562_RS03370,K562_RS03370
K562_RS03375,K562_RS03375
K562_RS03380,K562_RS03380
K562_RS03385,K562_RS03385
K562_RS03390,K562_RS03390
K562_RS03395,K562_RS03395
K562_RS03400,K562_RS03400
K562_RS03405,K562_RS03405
K562_RS03410,K562_RS03410
K562_RS03415,K562_RS03415
K562_RS03420,K562_RS03420
K562_RS03425,K562_RS03425
K562_RS03430,K562_RS03430
K562_RS03435,K562_RS03435
K562_RS03440,K562_RS03440
K562_RS03445,K562_RS03445
K562_RS03450,K562_RS03450
K562_RS03455,K562_RS03455
K562_RS03460,K562_RS03460
K562_RS03465,K562_RS03465
K562_RS03470,K562_RS03470
K562_RS03475,K562_RS03475
K562_RS03480,K562_RS03480
K562_RS03485,K562_RS03485
K562_RS03490,K562_RS03490
K562_RS03495,K562_RS03495
K562_RS03500,K562_RS03500
K562_RS03505,K562_RS03505
K562_RS03510,K562_RS03510
K562_RS03515,K562_RS03515
K562_RS03520,K562_RS03520
K562_RS03525,K562_RS03525
K562_RS03530,K562_RS03530
K562_RS03535,K562_RS03535
K562_RS03540,K562_RS03540
K562_RS03545,K562_RS03545
K562_RS03550,K562_RS03550
K562_RS03555,K562_RS03555
K562_RS03560,K562_RS03560
K562_RS03565,K562_RS03565
K562_RS03570,K562_RS03570
K562_RS03575,K562_RS03575
K562_RS03580,K562_RS03580
K562_RS03585,K562_RS03585
K562_RS03590,K562_RS03590
K562_RS03595,K562_RS03595
K562_RS03600,K562_RS03600
K562_RS03605,K562_RS03605
K562_RS03610,K562_RS03610
K562_RS03615,K562_RS03615
K562_RS03620,K562_RS03620
K562_RS03625,K562_RS03625
K562_RS03630,K562_RS03630
